Values	Count
0	237
1	187
2	112
3	68
4	49
5	31
6	16
7	18
8	11
9	6
10	13
11	9
12	7
13	1
14	2
15	5
16	9
17	11
18	10
19	11
20	15
21	6
22	10
23	6
24	5
25	1
26	1
28	1
29	1
30	1
31	1
32	2
33	1
34	7
35	2
36	2
37	2
38	3
40	2
42	4
43	2
45	2
48	1
58	1
59	1
62	2
64	1
65	2
67	1
69	1
77	1
78	1
80	1
82	1
84	1
86	1
88	1
89	1
92	1
93	2
96	1
97	1
113	1
118	1
130	1
133	1
135	1
137	1
148	1
149	1
169	1
170	1
179	1
182	1
212	1
226	1
228	1
229	1
240	1
241	1
367	1
439	1
509	1
603	1
766	1
825	1
834	1
14579	1
32631	1
36579	1
47390	1
49314	4
