Values	Count
80	1
248	1
370	1
1088	1
1228	1
2929	1
3797	1
3925	1
4993	1
5049	1
6174	1
6421	1
6677	1
7065	1
7251	1
7505	1
7978	1
8053	1
8054	2
8058	1
8102	1
8893	1
8984	1
9051	1
9057	1
9117	1
9222	1
9227	1
9311	1
9374	1
9429	1
9667	1
9671	1
10243	1
10348	1
10594	1
10726	1
10775	1
10862	1
10907	1
10940	1
11000	1
11117	1
11398	1
11719	1
11813	1
11859	1
12248	1
12288	1
12659	1
12835	1
13348	1
13402	1
13692	1
13911	1
14026	1
14027	1
14632	1
14803	1
14938	1
15752	1
16080	1
16185	1
16678	1
18500	1
18857	1
21199	1
49314	14
