# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
UL100	HHV5wtgp093	HHV5wtgp093	protein_coding	0	0	0	20	0	0	20	0	0	0	0	0	0	0	0
UL102	HHV5wtgp094	HHV5wtgp094	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	0	0	19
UL50	HHV5wtgp055	HHV5wtgp055	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6
UL51	HHV5wtgp056	HHV5wtgp056	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
UL52	HHV5wtgp057	HHV5wtgp057	protein_coding	0	0	0	176	0	0	176	0	0	0	0	0	0	0	0
UL53	HHV5wtgp058	HHV5wtgp058	protein_coding	0	0	0	362	0	0	362	0	0	0	0	0	0	0	0
UL54	HHV5wtgp059	HHV5wtgp059	protein_coding	9	25	111	762	2	0	0	5	109	0	2	2	0	26	762
UL55	HHV5wtgp060	HHV5wtgp060	protein_coding	42	41	412	413	0	0	172	12	413	1	1	28	1	41	241
UL56	HHV5wtgp061	HHV5wtgp061	protein_coding	25	25	196	655	0	1	655	13	198	1	0	12	1	27	0
UL57	HHV5wtgp062	HHV5wtgp062	protein_coding	0	0	0	607	0	0	607	0	0	0	0	0	0	0	0
UL89	HHV5wtgp083	HHV5wtgp083	protein_coding	0	0	0	20	0	0	0	0	0	0	0	0	0	0	20
UL93	HHV5wtgp086	HHV5wtgp086	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
UL94	HHV5wtgp087	HHV5wtgp087	protein_coding	0	0	0	18	0	0	18	0	0	0	0	0	0	0	0
UL95	HHV5wtgp088	HHV5wtgp088	protein_coding	0	0	0	20	0	0	20	0	0	0	0	0	0	0	0
UL96	HHV5wtgp089	HHV5wtgp089	protein_coding	0	0	0	20	0	0	20	0	0	0	0	0	0	0	0
UL97	HHV5wtgp090	HHV5wtgp090	protein_coding	1	4	15	0	0	0	0	1	15	0	0	0	0	4	0
UL98	HHV5wtgp091	HHV5wtgp091	protein_coding	0	0	0	20	0	0	0	0	0	0	0	0	0	0	20
UL99	HHV5wtgp092	HHV5wtgp092	protein_coding	0	0	0	20	0	0	0	0	0	0	0	0	0	0	20
US10	HHV5wtgp141	HHV5wtgp141	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	0	0	19
US11	HHV5wtgp142	HHV5wtgp142	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	0	0	19
US12	HHV5wtgp143	HHV5wtgp143	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	0	0	19
US13	HHV5wtgp144	HHV5wtgp144	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	0	0	19
US14	HHV5wtgp145	HHV5wtgp145	protein_coding	0	18	1	0	0	0	0	0	1	0	0	0	0	18	0
US15	HHV5wtgp146	HHV5wtgp146	protein_coding	0	0	0	19	0	0	19	0	0	0	0	0	0	0	0
US16	HHV5wtgp147	HHV5wtgp147	protein_coding	0	0	0	19	0	0	19	0	0	0	0	0	0	0	0
US17	HHV5wtgp148	HHV5wtgp148	protein_coding	0	0	0	19	0	0	19	0	0	0	0	0	0	0	0
US18	HHV5wtgp149	HHV5wtgp149	protein_coding	0	0	0	19	0	0	19	0	0	0	0	0	0	0	0
US19	HHV5wtgp150	HHV5wtgp150	protein_coding	0	0	0	19	0	0	19	0	0	0	0	0	0	0	0
US8	HHV5wtgp139	HHV5wtgp139	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	13
US9	HHV5wtgp140	HHV5wtgp140	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	0	0	19
